paper_id,raw_conclusion,summary
23607,"Her pharyngeal symptoms disappeared gradually and her body temperature remained normal, without any symptoms of coughing or chest tightness. Chest CT on 22nd February showed that the lesion in the right lower lobe was smaller than before ( Figure 1C ). The patient was then discharged from the hospital on 25th February 2020. The patient and her parents had no epidemiological history in Wuhan city or Hubei province. The patient may be a third-or fourth-generation infected person, suggesting that in early February, more than three generations of SARS-CoV-2 have been transmitted in areas outside of Wuhan and Hubei. Modern transportation has made personnel movements more rapid, which might have accelerated the virus transmission speed [6] . The patient's mother had fever before her death, and her father went to two hospitals due to his fever before the diagnosis. Neither of them had the SARS-CoV-2 nucleic acid test. If the patient's parents and the attending medical staff were not effectively protected at the time, further transmission may have occurred. Therefore, the vigilance of medical staff in outpatient and emergency departments around patients with fever and respiratory symptoms should be further improved and comprehensive SARS-CoV-2 nucleic acid testing should be performed on such patients [7] . This is a typical case of a family cluster onset, which is common in many other cases [8] . During the epidemic period, although the father who initially developed the disease had no clear history of contact, he had stayed in multiple hospitals. Owing to the complexity of pathogen sources in hospitals, there may be potential sources of COVID-19 infection. This suggests that during the epidemic, hospital stay should be minimized. If there are feverish cases in the family, effective isolation measures should be implemented as early as possible to minimize the spread of the virus. This patient's nucleic acid test for respiratory pathogens has been negative on two consecutive occasions (sampling interval of at least 24 h). According to the Chinese 'Seventh Edition of the COVID-19 Diagnosis and Treatment Protocol' [5] , she had already met the standards of releasing from quarantine and discharging from hospital. However, a fourth subsequent respiratory tract sample showed positive SARS-CoV-2 nucleic acid. Usually, nucleic acid positive rate is 80-83% [9, 10] , which suggests that in patients with a clear epidemiological history of contact with COVID-19 or suspected patients from a family cluster, the quarantine period should be appropriately extended and the nucleic acid tests should be performed repeatedly to avoid accidental discharge which may cause further virus spread. The patient's nucleic acid only became positive on the 7th day of admission. This may be because of the patient's low viral load and mild symptoms, or simply the sampling site. It is reported in the literature that taking sputum sample from a deep spot in the lung may increase the positive rate [11] . But clinically, many patients have a dry cough without any sputum, which makes it more difficult to retain sputum samples. This could be one of the reasons for the low nucleic acid positive rate. Therefore, for patients who are highly suspected for COVID-19 but with negative nucleic acid, repeated testing should be performed. In case of persistent negativity, sampling of bronchoalveolar lavage fluid should be considered. Other testing methods, such as blood IgM, second-generation sequencing may also be used to achieve confirmed diagnosis. Test results: it is reported that SARS-CoV-2 may cause a decrease in peripheral white blood cell and lymphocyte counts in the early stages of the disease [5] . But this is not the case in this patient. Some patients may have elevated liver enzymes and creatase, increased erythrocyte sedimentation rate and C-reactive protein. This patient had slightly increased creatase and elevated C-reactive protein, which is consistent with the report. A transient increase in serum amyloid A in this patient suggests that serum amyloid A may also be a sensitive indicator of COVID-19. For suspected cases with history of close contact with COVID-19 patients, respiratory SARS-CoV-2 nucleic acid should be tested repeatedly to avoid missed diagnosis. • For suspected cases with a history of close contact with COVID-19 patients, SARS-CoV-2 nucleic acid should be tested repeatedly to avoid missed diagnosis. ","The patient may be a third-or fourth-generation infected person, suggesting that in early February, more than three generations of SARS-CoV-2 have been transmitted in areas outside of Wuhan and Hubei.<q>The patient and her parents had no epidemiological history in Wuhan city or Hubei province.<q>The patient was then discharged from the hospital on 25th February 2020.
"
23711,"On the 26th February 2020, a meeting was held at the Royal Society of Medicine between key advisers in UK healthcare and law enforcement to discuss quarantine measures in response to the current COVID‐19 outbreak. This article is a brief summary of the comments and questions raised at the meeting.","On the 26th February 2020, a meeting was held at the Royal Society of Medicine between key advisers in UK healthcare and law enforcement to discuss quarantine measures in response to the current COVID‐19 outbreak. This article is a brief summary of the comments and questions raised at the meeting.
"
23731,"We establish a mathematical model called SIDCRL model with dynamic social factors illustrating epidemic situations in China, South Korea, Italy, and the United States. The model coincides with the actual situation and gives predictions. Also, it can be induced from the simulation that the increasing number of SCCs contributes to the epidemic outbreak. ","We establish a mathematical model called SIDCRL model with dynamic social factors illustrating epidemic situations in China, South Korea, Italy, and the United States.<q>The model coincides with the actual situation and gives predictions.<q>Also, it can be induced from the simulation that the increasing number of SCCs contributes to the epidemic outbreak.
"
24201,"As the largest quarantine in human history, the City of Wuhan, China, with more than 11 million people went under a complete lockdown situation on 23 Jan 2020. An unprecedented situation that lasted longer than ever imagined. This occurred solely due to the spread of the novel coronavirus disease (later renamed as “COVID-19”), just one day before the celebration of the Chinese New Year.","As the largest quarantine in human history, the City of Wuhan, China, with more than 11 million people went under a complete lockdown situation on 23 Jan 2020.<q>An unprecedented situation that lasted longer than ever imagined.<q>This occurred solely due to the spread of the novel coronavirus disease (later renamed as “COVID-19”), just one day before the celebration of the Chinese New Year.
"
25734,"This case highlights the infectivity of the virus through pre-symptomatic people. COVID-19 has globally impacted social and economic life, but the loss of life is irreplaceable and irreparable. A certain set of precautions and vigilance including hand hygiene, PPE, avoiding unnecessary travel, quarantine and self-isolation are the most critical steps in containing this pandemic illness from getting out of control. India is a nation of 1.3 billion people, densely populated, and resource constrained. If we face an outbreak of the same ferocity as China, Italy or Spain, our healthcare resources would be overrun a lot sooner. The mere thought of the consequences is petrifying. Our only saving gracewe are probably in the initial phases of the epidemic. 10, 11 Until this stage, the authorities are largely able to keep track and quarantine the cases and their contacts. But beyond this, it becomes impossible. This is our final defence, our ultimate stand. Any further, and we may reach a tipping point of our reserves. Healthcare and economic collapse would be inevitable. So, the buck stops with strict self-isolation and quarantine. The screening of passengers at International airports in India was started from 18 January 2020 12 and more than 1.5 million passengers have since arrived in India. 13 The Ministry of Health and Family Welfare along with state health authorities has made a detailed list of these passengers and have embarked on an extensive tracking of these passengers to ensure quarantine and isolation as per incubation-period recommendations. 14 The adequacy of contact tracing will be crucial determinant towards the control of this corona virus disease. However, due to high proportion of pre-symptomatic having potential to promulgate secondary and tertiary transmissions, timely contact tracing may not be feasible especially due to the known delays of reporting and laboratory test results. Thus, contact tracing may only have a supplementary role to other restrictive strategies like social distancing and avoidance of unnecessary social contact through administrative measures like lockdown.  Understanding the disease epidemiology is a first step in response preparedness. COVID-19 has a risk of unprecedented spread especially by means of pre-symptomatic transmission. Contact tracing, timely testing and adequate quarantine/isolation will go a long way in reigning the rapid spread of this disease. ","This case highlights the infectivity of the virus through pre-symptomatic people.<q>COVID-19 has globally impacted social and economic life, but the loss of life is irreplaceable and irreparable.<q>A certain set of precautions and vigilance including hand hygiene, PPE, avoiding unnecessary travel, quarantine and self-isolation are the most critical steps in containing this pandemic illness from getting out of control.
"
25757,"In this paper, a new Susceptible-Exposed-Symptomatic Infectious-Asymptomatic Infectious-Quarantined-Hospitalized-Recovered-Dead (SEI(D)I(U)QHRD) deterministic compartmental model has been proposed and calibrated for interpreting the transmission dynamics of the novel coronavirus disease (COVID-19). The purpose of this study is to give a tentative prediction of the epidemic peak for Russia, Brazil, India and Bangladesh which could become the next COVID-19 hotspots in no time by using a Trust-region-reflective (TRR) algorithm which one of the well-known real data fitting techniques. Based on the publicly available epidemiological data from late January until 10 May, it has been estimated that the number of daily new symptomatic infectious cases for the above mentioned countries could reach the peak around the beginning of June with the peak size of ∼ 15, 774 (95% CI, 12,814-16,734) symptomatic infectious cases in Russia, ∼ 26, 449 (95% CI, 25,489-31,409) cases in Brazil, ∼ 9, 504 (95% CI, 8,378-13,630) cases in India and ∼ 2, 209 (95% CI, 2,078-2,840) cases in Bangladesh. As of May 11, 2020, incorporating the infectiousness capability of asymptomatic carriers, our analysis estimates the value of the basic reproduction number (R(0)) as of May 11, 2020 was found to be ∼ 4.234 (95% CI, 3.764-4.7) in Russia, ∼ 5.347 (95% CI, 4.737-5.95) in Brazil, ∼ 5.218 (95% CI, 4.56-5.81)in India, ∼ 4.649 (95% CI, 4.17-5.12) in the United Kingdom and ∼ 3.53 (95% CI, 3.12-3.94) in Bangladesh. Moreover, Latin hypercube sampling-partial rank correlation coefficient (LHS-PRCC) which is a global sensitivity analysis (GSA) method is applied to quantify the uncertainty of our model mechanisms, which elucidates that for Russia, the recovery rate of undetected asymptomatic carriers, the rate of getting home-quarantined or self-quarantined and the transition rate from quarantined class to susceptible class are the most influential parameters, whereas the rate of getting home-quarantined or self-quarantined and the inverse of the COVID-19 incubation period are highly sensitive parameters in Brazil, India, Bangladesh and the United Kingdom which could significantly affect the transmission dynamics of the novel coronavirus. Our analysis also suggests that relaxing social distancing restrictions too quickly could exacerbate the epidemic outbreak in the above-mentioned countries.","In this paper, a new Susceptible-Exposed-Symptomatic Infectious-Asymptomatic Infectious-Quarantined-Hospitalized-Recovered-Dead (SEI(D)I(U)QHRD) deterministic compartmental model has been proposed and calibrated for interpreting the transmission dynamics of the novel coronavirus disease (COVID-19).<q>The purpose of this study is to give a tentative prediction of the epidemic peak for Russia, Brazil, India and Bangladesh which could become the next COVID-19 hotspots in no time by using a Trust-region-reflective (TRR) algorithm which one of the well-known real data fitting techniques.<q>Based on the publicly available epidemiological data from late January until 10 May, it has been estimated that the number of daily new symptomatic infectious cases for the above mentioned countries could reach the peak around the beginning of June with the peak size of ∼ 15, 774 (95% CI, 12,814-16,734) symptomatic infectious cases in Russia, ∼ 26, 449 (95% CI, 25,489-31,409) cases in Brazil, ∼ 9, 504 (95% CI, 8,378-13,630) cases in India and ∼ 2, 209 (95% CI, 2,078-2,840) cases in Bangladesh.
"
64144,"While previous authors [1] [6] have alluded to and explored the use of age targeting, they have done so in the limited sense of quarantining retirees, and assumed moderate social distancing measures are implemented. Here we argue that this undersells the potential effectiveness of the targeted quarantine approach; any government willing to take the extraordinary measure of shutting down all of society should, at the very least, consider the significantly less drastic measure of quarantining one third of their population. To the low risk population, our strategy offers a fast return to functional society, and, for those few who do get sick, access to medical facilities and staff who are dealing with a manageable number of cases. To those under isolation, targeted quarantine offers the possibility of avoiding COVID-19 altogether. By releasing a large portion of the population from lockdown after a small number of weeks, age-targeted quarantine balances the need to maintain a functional society and economy, with the limitations of hospital resources, and has the potential to significantly reduce casualties. ","To those under isolation, targeted quarantine offers the possibility of avoiding COVID-19 altogether.<q>To the low risk population, our strategy offers a fast return to functional society, and, for those few who do get sick, access to medical facilities and staff who are dealing with a manageable number of cases.<q>While previous authors [1] [6] have alluded to and explored the use of age targeting, they have done so in the limited sense of quarantining retirees, and assumed moderate social distancing measures are implemented.
"
64197,"In this study, we have presented an illustrative, but not exhaustive multiple-regression analysis of 28 explanatory variables, in an attempt to identify those parameters that can best predict . CC-BY-NC-ND 4.0    In this study, we have applied MLR and ML analyses to a large number of potentially promising explanatory variables. We found that population-weighted density (PWD), as well as metrics for the efficacy of lock-down orders were the most significant explanatory variables in explaining the variability in the rate of deaths across U.S. states. Race/ethnicity, health, and climate effects, while statistically significant, were not as significantly important. This may reflect an intrinsic truth, or, more, more likely, is a consequence of the limitations in the data collected. Further studies with more extensive and accurate datasets (as they become available) will likely resolve these issues. ","In this study, we have presented an illustrative, but not exhaustive multiple-regression analysis of 28 explanatory variables, in an attempt to identify those parameters that can best predict .<q>CC-BY-NC-ND 4.<q>We found that population-weighted density (PWD), as well as metrics for the efficacy of lock-down orders were the most significant explanatory variables in explaining the variability in the rate of deaths across U.
"
64248,"There is strong interest globally amidst the current COVID-19 pandemic in tracing contacts of infectious patients using mobile technologies, both as a warning system to individuals and as a targeted intervention strategy for governments. Several governments, including India, have introduced mobile apps for this purpose, which give a warning when the individual's phone establishes bluetooth contact with the phone of an infected person. We present a methodology to probabilistically evaluate risk of infection given the network of contacts that individuals are likely to encounter in real life. Instead of binary ""infected"" or ""uninfected"" statuses, an infection risk probability is maintained which can be efficiently calculated based on probabilities of recent contacts, and updated when a recent contact is diagnosed with a disease. We demonstrate on realistic networks that this method sharply outperforms a naive immediate-contact method even in an ideal circumstance that all infected persons are known to the naive method. We demonstrate robustness to missing contact information (such as when phones fail to make bluetooth contact or the app is not installed). We show, within our model, a strong flattening of the infectious peak when even a small fraction of cases are identified, tested and isolated. In the real world, where most known-infected persons are isolated or quarantined and where many individuals may not carry their mobiles in public, we believe the improvement offered by our method warrants consideration. Importantly, in view of widespread concerns on privacy and contact-tracing, our method relies mainly on direct contact data that can be stored locally on users' phones, and uses limited communication via intermediary servers only upon testing, mitigating privacy concerns.","There is strong interest globally amidst the current COVID-19 pandemic in tracing contacts of infectious patients using mobile technologies, both as a warning system to individuals and as a targeted intervention strategy for governments.<q>Several governments, including India, have introduced mobile apps for this purpose, which give a warning when the individual's phone establishes bluetooth contact with the phone of an infected person.<q>We present a methodology to probabilistically evaluate risk of infection given the network of contacts that individuals are likely to encounter in real life.
"
64358,"The rapid expansion of COVID-19 has caused a global pandemic. Although quarantine measures have been used widely, the critical steps among them to suppress the outbreak without a huge social-economic loss remain unknown. Hong Kong, unlike other regions in the world, had a massive number of travellers from Mainland China during the early expansion period, and yet the spread of virus has been relatively limited. Understanding the effect of control measures to reduce the transmission in Hong Kong can improve the control of the virus spreading. We have developed a susceptible-exposed-infectious-quarantined-recovered (SEIQR) meta-population model that can stratify the infections into imported and subsequent local infections, and therefore to obtain the control effects on transmissibility in a region with many imported cases. We fitted the model to both imported and local confirmed cases with symptom onset from 18 January to 29 February 2020 in Hong Kong with daily transportation data and the transmission dynamics from Wuhan and Mainland China. The model estimated that the reproductive number was dropped from 2.32 to 0.76 (95% CI, 0.66 to 0.86) after an infected case was estimated to be quarantined half day before the symptom onset, corresponding to the incubation time of 5.43 days (95% CI, 1.30-9.47). If the quarantine happened about one day after the onset, community spread would be likely to occur, indicated by the reproductive number larger than one. The results suggest that the early quarantine for a suspected case before the symptom onset is a key factor to suppress COVID-19.","Although quarantine measures have been used widely, the critical steps among them to suppress the outbreak without a huge social-economic loss remain unknown.<q>The rapid expansion of COVID-19 has caused a global pandemic.<q>Hong Kong, unlike other regions in the world, had a massive number of travellers from Mainland China during the early expansion period, and yet the spread of virus has been relatively limited.
"
