paper_id,raw_conclusion
23709,"This paper provides a timely estimation of the economic impact of the coronavirus, both at the local and global levels. To keep the exercise simple and transparent, we have to abstract from several aspects of the epidemic, and hence we do not claim that this is the most comprehensive calculation. We mostly want to highlight the network nature of the economic impact. With more closely connected production network within mainland China and trade network across countries, we show that the coronavirus has a non-negligible effect on output. "
24201,"As the largest quarantine in human history, the City of Wuhan, China, with more than 11 million people went under a complete lockdown situation on 23 Jan 2020. An unprecedented situation that lasted longer than ever imagined. This occurred solely due to the spread of the novel coronavirus disease (later renamed as “COVID-19”), just one day before the celebration of the Chinese New Year."
64298,"We investigated the relation between PCR examination rate among population and the success of containment of COVID-19. Although there was moderate negative correlation, the effect cannot be separated from that of Gross Domestic Product per capita (GDP), which may well be related to the strict compliance to social distancing. Close inspection of individual countries suggested that the social distancing is the largest factor to achieve containment, and the contribution of broad PCR tests is smaller."
64299,"The results of our study forecast the possible course of the pandemic in the National Capital Region of Delhi and the likely effect of various public health interventions considered by the Government of India and the Government of Delhi. Accordingly estimates shows that pandemic may reach its peak on 94 th day with around 55 lakh prevalent cases on peak day, if no public health interventions implemented. By case isolation and lockdown we could delay . CC-BY-NC-ND 4.0    "
64331,"Aiming at a balance of infections, deaths and economic loss, we simulated and evaluated how and when to take which intensity level of interventions was a feasible way to control the COVID-19 outbreak in the UK. We found rolling intervention between suppression and mitigation with high intensity could be an effective and efficient choice to limit the total deaths of the UK to 33-38 thousand but maintain essential mobility for avoiding huge economic lose and society anxiety in a long period. Fig.1 . Therefore, we concluded that taking rolling intervention was more suitable to the UK. Notably, the total infections estimated in our model was measured by Exposed population (asymptomatic), which might be largely greater than other works only estimating Infectious population (symptomatic). We found that a large portion of self-recovered population were asymptomatic or mild symptomatic in the COVID-19 breakouts in Wuhan (occupied about 42%-60% of the total infectious population). These people might think they had been healthy at home because they did not go to hospital for COVID-19 tests. It was one important issue that some SEIR model predicted infectious population in Wuhan that 10 times over than confirmed cases. 12 Our results show that taking rolling intervention is one optimal strategy to effectively and efficiently control COVID-19 outbreaks in the UK. This strategy potentially reduces the overall infections and deaths; delays and reduces peak healthcare demand. In future, our model will be extended to investigate how to optimise the timing and strength of intervention to reduce COVID-19 morality and specific healthcare demand. "
64356,"To curb the spread of the novel coronavirus, India announced a nationwide lockdown on 24th March 2020 for 21 days, later extended for a longer time. This long period of lockdown greatly disrupted routine life and likely affecting citizens psychological well-being. The psychological toll of the pandemic on Indians is documented. However, no study has assessed whether the psychological toll changed over time due to repeated extensions of the lockdown. We followed up 159 Indian adults during the first two months of the lockdown to assess any change in their anxiety, stress, and depressive symptoms. Multilevel linear regression models of repeated observations nested within individuals, adjusted for socio-demographic covariates, showed that anxiety ({beta}=0.81, CI: 0.03, 1.60), stress ({beta}=0.51, CI: 0.32, 0.70), and depressive symptoms ({beta}=0.37, CI: 0.13, 0.60) increased over time during the lockdown. This increase was higher among women than men independent of covariates. Individual resilience was negatively associated with the psychological outcomes. This suggests that the state needs to address the current mental health impacts of a long-drawn out lockdown and its long-term sequelae. Disproportionate burden on women needs immediate attention. Sustainable change requires addressing the root causes driving the gender inequalities in psychological distress during such crises."
64371,"The COVID-19 pandemic first appeared in Greece on 26 February 2020 when the first COVID-19 case imported from Νorthern Italy, was confirmed. Although various regions in the country have been affected since, the major epicentre of the epidemic was in the greater area of the capital city of Athens. Athens accommodates almost one third of the country's population, while it is the major economic and travelling centre of the country. Despite the fact that the first cases in various European countries appeared around the same time, Greece is one of the least affected by the pandemic countries [28] . While the epidemic is still ongoing around . CC-BY-NC-ND 4.0    "
64397,"In summary a modified version of the SEIR model, incorporating asymptomatic individuals, was used for an-. CC-BY-NC-ND 4.0    ()  .   alyzing the effectiveness of different intervention protocols in controlling the growth of the Covid-19 pandemic. Non-clinical interventions can be either through social distancing or through testing-quarantining. Our results indicate that a combination of both, implemented over an extended period may be the most effective and practical strategy. We point out that short-term lock-downs cannot stop a recurrence of the pandemic if interventions are completely relaxed and developing herd immunity is not a practical solution either since this would affect a very large fraction of the population. We have provided numerical examples to illustrate the basic ideas and in addition, have stated a number of analytical results which can be useful in making empirical estimates of various important quantities that provide information on the disease progression. Looking at real data for new Covid-19 cases in several countries, we find that the extended SEIR model captures some important qualitative features and hence could provide guidance in policy-making. We use our analytic formulas to make predictions for disease peak numbers and expected time to peak for India, the state of Delhi and the city of Mumbai, but point out that these predictions could be incor-rect for India (due to big inhomogeneity in disease progression across the country) and perhaps more reliable for the cases of Delhi and Mumbai. Our formulas are easy to use and give quick heuristic estimates on disease progression, which would be reliable when applied to local populations (in towns, cities and perhaps smaller countries). While the lack of precise knowledge of the disease parameters (e.g the fraction of asymptomatic carriers) leads to rather large uncertainties in the predictions, they could perhaps be used to obtain reasonable bounds. "
64408,"The model presented in this work explores the epidemiological plausibility of a prolonged viral shedding window for the COVID-19 pandemic, and quantifies the impact of a gradual easing on the lockdown measures (relaxation) given different assumptions on the infectiousness of a chronically infectious population. Our results show that having a chronically infectious population, i.e., individuals that are less infectious but infectious for a longer duration, is not a possibility that can be easily rejected from an epidemiological perspective. This conclusion is based on two main results. First, the data that has been observed so far can be explained equally well by the model with prolonged viral shedding for a variety of different levels of reduced infectiousness as well as the null model, i.e., the model without prolonged viral shedding. Although this is partially due to the flexibility of the fitting procedure, the choice of hyperparameters (parameters of the prior distributions) indicate that all fits for a given reduced infectiousness value are possible for a set of reasonable model parameters, and therefore as favorable as the null model from a modeling perspective. Second, it is not clear whether the null model or the model with prolonged viral shedding provides more accurate predictions for the prospective data that is not included in the fitting procedure. The uncertainty around the prediction error values for different countries, different types of data (confirmed cases or deaths), and different data sizes used for fitting indicates that it is not always the null model that has the higher predictive power. Consequently, our analysis shows that it is not possible to either accept or reject the existence of a chronically infectious population with reasonable certainty from a modeling perspective. The fact that observed data can also be explained with a model including prolonged viral shedding raises certain questions about the interpretation of the epidemic curve, acquired immunity, and the current testing policies. Assuming a relatively short serial interval for a model that does not consider a prolonged viral shedding window results in more optimistic projections about epidemic control, as clearly demonstrated in Figs. 2 and 3. Countries that were very successful in their initial control measures and therefore experienced a very steep decline in the number of daily confirmed cases might choose to ease the control measures too soon. We still lack a full understanding of the viral shedding window of COVID-19, and therefore might have a biased opinion on the number of infectious individuals in the community. This once again emphasizes the infectiousness of COVID-19 and the significance of frequent testing although the number of confirmed cases are in decline. Building up on these conclusions and concerns, we investigate how the population dynamics would follow in case of a gradual easing on the lockdown measures (relaxation) in Switzerland considering different levels of infectiousness during a prolonged viral shedding window. Our results show that although the predictions present a similar shape for 7 . CC-BY-NC-ND 4.0    "
64429,"The paper makes a number of assumptions based on the schematics of different underground and overground cars on the London Underground. The capacity was calculated on the basis of these assumptions and shows a reduction in the projected capacity of the cars based on the adherence to social distancing principles. However it should be noted that another source gives a figure of 3 persons-per-metre squared as that intended in the original design of the transport cars (What do they know, 2020 (a)). Therefore the original standing capacity in Table 2 is an overestimation of standing capacity by 67%. This in turn means that social distancing person density is a 3800% reduction in standing capacity compared to the intended design although the subsequent analysis incorporating the geometry of the cars allows for a higher standing capacity. The main findings are that standing can occur in specified portions of the car but should avoid the area between the seats when they are occupied at capacity. The main standing areas would be in the space horizontally (i.e. parallel to the length of the car) adjacent to the seating areas and in front of the doors. These areas are of two types -wide and thin. For the wide areas, four standing people can be accommodated standing in the four corners of the area so as to maximally separate from each other. The passengers can stand close to the windows separating the standing area from the seating area. For the thin areas, two people can be accommodated on opposite sides. There are various seating areas but as a general rule, seating should be considered in the horizontal orientation and each row of seating can accommodate two people. The reduced capacity of each car requires a compensatory increase in the frequency of the underground trains or else an increase in the cars per train if this is possible, depending on the demand. A mismatch between the train capacity and the passengers may result in crowding on platforms depending on how the flow is managed. Another consideration is for the arrangements for boarding and alighting from the car which will require an increased time so as to enable passengers to maintain a distance of 2 metres from each other. Passengers would need to communicate with each other about how they will alight from the car whilst maintaining social distance. The standing and seated positions could be marked and an educational campaign initiated to ensure that commuters understand the logistics of this arrangement. Further consideration will be needed for the use of the glass barriers in separating standing and sitting passengers as if this cannot be used, then it would reduce the standing capacity. "
